
============================================================
 HPO: unet (20 trials x 50 epochs)
============================================================
  0%|          | 0/20 [00:00<?, ?it/s]  Ep   1/50 | loss=1.9847 | val dir=0.386 int=0.456 *
  Ep   5/50 | loss=1.6836 | val dir=0.478 int=0.570 *
  Ep   7/50 | loss=1.5908 | val dir=0.519 int=0.512 *
  Ep  10/50 | loss=1.5079 | val dir=0.504 int=0.585
  Ep  14/50 | loss=1.4317 | val dir=0.525 int=0.573 *
  Ep  19/50 | loss=1.3777 | val dir=0.547 int=0.532 *
  Ep  20/50 | loss=1.3452 | val dir=0.527 int=0.501
  Ep  30/50 | loss=1.2121 | val dir=0.497 int=0.547
  Early stop at ep 31
Best trial: 0. Best value: 0.546575:   0%|          | 0/20 [06:01<?, ?it/s]Best trial: 0. Best value: 0.546575:   5%|▌         | 1/20 [06:01<1:54:30, 361.58s/it]  Ep   1/50 | loss=2.0371 | val dir=0.022 int=0.055 *
  Ep   2/50 | loss=2.0302 | val dir=0.026 int=0.055 *
  Ep   3/50 | loss=2.0172 | val dir=0.042 int=0.159 *
  Ep   4/50 | loss=1.9936 | val dir=0.066 int=0.419 *
  Ep   5/50 | loss=1.9364 | val dir=0.114 int=0.547 *
  Ep   6/50 | loss=1.8503 | val dir=0.203 int=0.547 *
  Ep   7/50 | loss=1.8179 | val dir=0.249 int=0.514 *
  Ep   9/50 | loss=1.7542 | val dir=0.321 int=0.514 *
  Ep  10/50 | loss=1.7032 | val dir=0.418 int=0.562 *
  Ep  11/50 | loss=1.6714 | val dir=0.453 int=0.556 *
  Ep  12/50 | loss=1.6206 | val dir=0.479 int=0.527 *
  Ep  13/50 | loss=1.6122 | val dir=0.499 int=0.571 *
  Ep  15/50 | loss=1.5605 | val dir=0.521 int=0.581 *
  Ep  20/50 | loss=1.5207 | val dir=0.525 int=0.582 *
  Ep  26/50 | loss=1.4712 | val dir=0.533 int=0.605 *
  Ep  27/50 | loss=1.4418 | val dir=0.534 int=0.568 *
  Ep  28/50 | loss=1.4336 | val dir=0.542 int=0.560 *
  Ep  30/50 | loss=1.4348 | val dir=0.530 int=0.570
  Ep  35/50 | loss=1.3892 | val dir=0.548 int=0.571 *
  Ep  39/50 | loss=1.3973 | val dir=0.560 int=0.559 *
  Ep  40/50 | loss=1.3681 | val dir=0.547 int=0.570
  Ep  41/50 | loss=1.3684 | val dir=0.571 int=0.575 *
  Ep  50/50 | loss=1.3747 | val dir=0.568 int=0.570
Best trial: 1. Best value: 0.571233:   5%|▌         | 1/20 [11:57<1:54:30, 361.58s/it]Best trial: 1. Best value: 0.571233:  10%|█         | 2/20 [11:57<1:47:32, 358.47s/it]  Ep   1/50 | loss=2.0223 | val dir=0.256 int=0.586 *
  Ep   2/50 | loss=1.9317 | val dir=0.326 int=0.581 *
  Ep   4/50 | loss=1.7442 | val dir=0.385 int=0.493 *
  Ep   5/50 | loss=1.6623 | val dir=0.453 int=0.555 *
  Ep   7/50 | loss=1.5825 | val dir=0.455 int=0.527 *
  Ep   9/50 | loss=1.5674 | val dir=0.497 int=0.507 *
  Ep  10/50 | loss=1.5335 | val dir=0.484 int=0.575
  Ep  11/50 | loss=1.5289 | val dir=0.511 int=0.588 *
  Ep  13/50 | loss=1.5021 | val dir=0.512 int=0.599 *
  Ep  16/50 | loss=1.5157 | val dir=0.514 int=0.532 *
  Ep  18/50 | loss=1.4147 | val dir=0.529 int=0.562 *
  Ep  20/50 | loss=1.3817 | val dir=0.501 int=0.577
  Ep  24/50 | loss=1.3011 | val dir=0.553 int=0.568 *
  Ep  30/50 | loss=1.2299 | val dir=0.534 int=0.585
  Ep  32/50 | loss=1.2065 | val dir=0.555 int=0.573 *
  Ep  38/50 | loss=1.1404 | val dir=0.559 int=0.563 *
  Ep  39/50 | loss=1.1128 | val dir=0.566 int=0.564 *
  Ep  40/50 | loss=1.1142 | val dir=0.548 int=0.555
  Ep  43/50 | loss=1.1098 | val dir=0.568 int=0.566 *
  Ep  50/50 | loss=1.1052 | val dir=0.558 int=0.575
Best trial: 1. Best value: 0.571233:  10%|█         | 2/20 [22:59<1:47:32, 358.47s/it]Best trial: 1. Best value: 0.571233:  15%|█▌        | 3/20 [22:59<2:20:50, 497.07s/it]  Ep   1/50 | loss=2.0186 | val dir=0.297 int=0.522 *
  Ep   2/50 | loss=1.9344 | val dir=0.367 int=0.595 *
  Ep   4/50 | loss=1.7827 | val dir=0.437 int=0.521 *
  Ep   6/50 | loss=1.6731 | val dir=0.500 int=0.585 *
  Ep   7/50 | loss=1.6280 | val dir=0.514 int=0.521 *
  Ep   9/50 | loss=1.5867 | val dir=0.515 int=0.505 *
  Ep  10/50 | loss=1.5585 | val dir=0.478 int=0.555
