basin,year,storm,datetime,env_path,nc_path,direction,intensity,split,direction_reflected
WP,2017,BANYAN,2017081018,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081018.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081018_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081100,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081100.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081100_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081106,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081106.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081106_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081112,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081112.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081112_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081118,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081118.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081118_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081200,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081200.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081200_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081206,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081206.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081206_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081212,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081212.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081212_sst_z_u_v.nc,5,0,wp_train,5
WP,2017,BANYAN,2017081218,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081218.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081218_sst_z_u_v.nc,6,0,wp_train,6
WP,2017,BANYAN,2017081300,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Env-Data/WP/2017/BANYAN/2017081300.npy,/root/climate-change-group-project/Yasmin Drafts/cross-basin-cyclone-forecasting/data/tropicyclonenet/TCND_small_dataset/TCND_small_dataset/Data3D/WP/2017/BANYAN/TCND_BANYAN_2017081300_sst_z_u_v.nc,6,2,wp_train,6
