
============================================================
 HPO: unet_film (20 trials x 50 epochs)
============================================================

  0%|          | 0/20 [00:00<?, ?it/s]
Best trial: 0. Best value: 0.563014:   0%|          | 0/20 [05:43<?, ?it/s]
Best trial: 0. Best value: 0.563014:   5%|▌         | 1/20 [05:43<1:48:54, 343.92s/it]  Ep   1/50 | loss=2.0023 | val dir=0.040 int=0.474 *
  Ep   3/50 | loss=1.9187 | val dir=0.234 int=0.629 *
  Ep   4/50 | loss=1.8115 | val dir=0.253 int=0.552 *
  Ep   5/50 | loss=1.7692 | val dir=0.285 int=0.562 *
  Ep   6/50 | loss=1.7098 | val dir=0.332 int=0.566 *
  Ep   7/50 | loss=1.6576 | val dir=0.448 int=0.599 *
  Ep   8/50 | loss=1.6336 | val dir=0.482 int=0.584 *
  Ep  10/50 | loss=1.5652 | val dir=0.437 int=0.581
  Ep  11/50 | loss=1.5658 | val dir=0.500 int=0.552 *
  Ep  12/50 | loss=1.5506 | val dir=0.526 int=0.573 *
  Ep  17/50 | loss=1.4428 | val dir=0.529 int=0.600 *
  Ep  18/50 | loss=1.4507 | val dir=0.534 int=0.577 *
  Ep  20/50 | loss=1.4219 | val dir=0.534 int=0.604
  Ep  24/50 | loss=1.3836 | val dir=0.542 int=0.593 *
  Ep  28/50 | loss=1.3377 | val dir=0.544 int=0.581 *
  Ep  29/50 | loss=1.3249 | val dir=0.558 int=0.555 *
  Ep  30/50 | loss=1.3177 | val dir=0.541 int=0.577
  Ep  33/50 | loss=1.2781 | val dir=0.559 int=0.593 *
  Ep  36/50 | loss=1.2712 | val dir=0.563 int=0.608 *
  Ep  40/50 | loss=1.2335 | val dir=0.553 int=0.573
  Early stop at ep 48

Best trial: 1. Best value: 0.575342:   5%|▌         | 1/20 [08:56<1:48:54, 343.92s/it]
Best trial: 1. Best value: 0.575342:  10%|█         | 2/20 [08:56<1:16:24, 254.68s/it]  Ep   1/50 | loss=2.0456 | val dir=0.226 int=0.441 *
  Ep   6/50 | loss=1.9266 | val dir=0.249 int=0.547 *
  Ep  10/50 | loss=1.7431 | val dir=0.304 int=0.549 *
  Ep  11/50 | loss=1.6962 | val dir=0.414 int=0.567 *
  Ep  12/50 | loss=1.6885 | val dir=0.438 int=0.533 *
  Ep  13/50 | loss=1.6440 | val dir=0.445 int=0.560 *
  Ep  14/50 | loss=1.6438 | val dir=0.458 int=0.593 *
  Ep  15/50 | loss=1.6081 | val dir=0.495 int=0.605 *
  Ep  18/50 | loss=1.5728 | val dir=0.504 int=0.584 *
  Ep  20/50 | loss=1.5321 | val dir=0.492 int=0.559
  Ep  21/50 | loss=1.5486 | val dir=0.518 int=0.593 *
  Ep  22/50 | loss=1.5363 | val dir=0.526 int=0.611 *
  Ep  26/50 | loss=1.5037 | val dir=0.536 int=0.586 *
  Ep  29/50 | loss=1.4791 | val dir=0.540 int=0.567 *
  Ep  30/50 | loss=1.4794 | val dir=0.533 int=0.555
  Ep  32/50 | loss=1.4656 | val dir=0.544 int=0.570 *
  Ep  34/50 | loss=1.4539 | val dir=0.552 int=0.588 *
  Ep  37/50 | loss=1.4464 | val dir=0.553 int=0.579 *
  Ep  39/50 | loss=1.4229 | val dir=0.558 int=0.571 *
  Ep  40/50 | loss=1.4309 | val dir=0.560 int=0.570 *
  Ep  41/50 | loss=1.4154 | val dir=0.566 int=0.578 *
  Ep  44/50 | loss=1.4050 | val dir=0.568 int=0.563 *
  Ep  45/50 | loss=1.4234 | val dir=0.570 int=0.566 *
  Ep  46/50 | loss=1.4056 | val dir=0.575 int=0.571 *
  Ep  50/50 | loss=1.4158 | val dir=0.570 int=0.562

Best trial: 1. Best value: 0.575342:  10%|█         | 2/20 [11:43<1:16:24, 254.68s/it]
Best trial: 1. Best value: 0.575342:  15%|█▌        | 3/20 [11:43<1:00:48, 214.63s/it]  Ep   1/50 | loss=2.0299 | val dir=0.293 int=0.193 *
  Ep   2/50 | loss=1.9624 | val dir=0.347 int=0.601 *
  Ep   5/50 | loss=1.7332 | val dir=0.358 int=0.595 *
  Ep   6/50 | loss=1.6498 | val dir=0.521 int=0.558 *
  Ep  10/50 | loss=1.5149 | val dir=0.474 int=0.537
  Ep  13/50 | loss=1.4481 | val dir=0.540 int=0.581 *
  Ep  17/50 | loss=1.5016 | val dir=0.552 int=0.603 *
  Ep  20/50 | loss=1.3193 | val dir=0.541 int=0.589
  Early stop at ep 29
